name	description	tags	authors	urls	container	isWebApp
Add	Returns the sum of two values	basic operations	NA	https://github.com/tercen/add_operator	NA	NA
Sequence alignment metrics	Returns alignment metrics	bioinformatics	NA	https://github.com/tercen/alignment_metrics_operator	NA	NA
ANOVA	Analysis of variance	statistical testing; test; linear model	NA	https://github.com/tercen/anova_operator	NA	NA
asinh	asinh transformation a given data	data transformation; data wrangling; transform	NA	https://github.com/tercen/asinh_operator	NA	NA
ATSNE	Approximated-tSNE is a method for constructing a low dimensional embedding of high-dimensional data	multivariate statistics	NA	https://github.com/tercen/atsne_docker_operator	tercen/atsne:1.1.11	NA
ATSNE	Approximated-tSNE is a method for constructing a low dimensional embedding of high-dimensional data	multivariate statistics	NA	https://github.com/tercen/atsne_operator	NA	NA
base change	base change	data wrangling; Pharma; transform; data transformation	NA	https://github.com/tercen/basechange_operator	NA	NA
Boxplot Shiny Operator	Create boxplots in Tercen.	plot	NA	https://github.com/tercen/boxplot_shiny_operator	NA	NA
calcnormfactors	calculate normal factors	normalization; rnaseq	NA	https://github.com/tercen/calcnormfactors_operator	NA	NA
Cell Plot	A typical usage scenario is plotting the enrichment of Gene Ontology terms, with individual cells reflecting the differential regulation of the constituent genes.	basic statistics	NA	https://github.com/tercen/cellplot_shiny_operator	NA	NA
Chi-square test	Performs a chi-square test on a set of data points.	statistical testing; test	NA	https://github.com/tercen/chisquare_test_operator	NA	NA
Clustering metrics	Returns various clustering metrics	clustering	NA	https://github.com/tercen/clustering_metrics_operator/	NA	NA
Hierarchical clustering tree	Returns a hierarchical clustering tree to be projected in Tercen.	clustering; tree	NA	https://github.com/tercen/clustering_tree_operator	NA	NA
clusterx	Fast clustering by automatic search and find of density peaks	multivariate statistics	NA	https://github.com/tercen/clusterx_operator	NA	NA
Concatenate operator	Concatenate different columns into a single one.	data wrangling; text processing; text manipulation	NA	https://github.com/tercen/concatenate_operator	NA	NA
Constant	Define a constant value per cell	basic statistics	NA	https://github.com/tercen/constant_operator	NA	NA
Count	Count the number of data point per cell	simple statistics	NA	https://github.com/tercen/count_operator	NA	NA
CV	Compute the coefficient of variance per cell	basic statistics	NA	https://github.com/tercen/cv_operator	NA	NA
NA	NA	NA	NA	NA	NA	NA
Density plot Shiny Operator	Create density plots in Tercen.	plot	NA	https://github.com/tercen/densityplot_shiny_operator	NA	NA
Density	Compute the density on x and y axis per cell	basic statistics	NA	https://github.com/tercen/density_operator	NA	NA
DESeq2_two_conditions	DESeq2 two condition comparison	RNA-seq; differential expression; genomics	NA	https://github.com/tercen/DESeq2_two_conditions_operator	NA	NA
diffcyt	Differential discovery in high-dimensional cytometry via high-resolution clustering	flowcytometry; rnaseq	NA	https://github.com/tercen/diffcyt_operator	NA	NA
Distance between aligned sequences	Computes the distance between aligned biological sequences	bioinformatics	NA	https://github.com/tercen/dist_alignment_operator	NA	NA
Downsample	Downsample data	sampling	NA	https://github.com/tercen/downsample_operator	NA	NA
Fast t-SNE operator	Fast FFT Interpolation-based tSNE operator	multivariate statistics	NA	https://github.com/tercen/fast_tSNE_operator	agouy/fast_tSNE_operator:0.0.1	FALSE
Fast t-SNE	Fast Fourier Transform Interpolation-based t-SNE	dimensionality reduction	NA	https://github.com/tercen/fast_tSNE_operator	NA	NA
fgsea	Perform fast gene set enrichment analysis	enrichment	NA	https://github.com/tercen/fsgea_operator	NA	NA
Flag operator	Flag text or numerical values based on a condition.	data wrangling; text processing	NA	https://github.com/tercen/flag_operator	NA	NA
flowai	flowai quality control operator	flowcytometry	NA	https://github.com/agouy/flowai_operator	NA	NA
flowClean	Quality control for flowcytometry data	flowcytometry	NA	https://github.com/tercen/template_R_operator	NA	NA
flowsomtuning	FlowSOM tuning	flowcytometry; rnaseq	NA	https://github.com/tercen/flowsomtuning_operator	NA	NA
FlowSOM MST Shiny Operator	FlowSOM MST Shiny Operator in Tercen.	flowsom	NA	https://github.com/tercen/flowsom_mst_shiny_operator	NA	NA
FlowSOM	Returns FlowSOM clusters	flow cytometry	NA	https://github.com/tercen/flowsom_operator	NA	NA
fold change	fold change	simple statistics	NA	https://github.com/tercen/foldchange_operator	NA	NA
Genome join operator	Join two tables based on overlapping genomic interval.	bioinformatics; import	NA	https://github.com/tercen/genome_join_operator	NA	NA
GFR	Glomerular filtration rate estimate 	pharmacokinetics; Pharma	NA	https://github.com/tercen/gfr_operator	NA	NA
GSEA	Gene Set Enrichment Analysis	bioinformatics	NA	https://github.com/tercen/gsea_operator	NA	NA
hclust	Hierarchical Cluster	multivariate statistics	NA	https://github.com/tercen/hclust_operator	NA	NA
Shiny Heatmap	Create a clustered heatmap.	heatmap	NA	https://github.com/tercen/heatmap_shiny_operator	NA	NA
Hierarchical clustering operator	Perform the hierarchical clustering of a set of datapoints based on provided variable values.	clustering	NA	https://github.com/tercen/hierarchical_clustering_operator	NA	NA
Histogram operator	Create a 1D or 2D histogram	data visualisation; plot; basic statistics	NA	https://github.com/tercen/histogram_operator	NA	NA
Impute	Impute NA to zero per cell	data wrangling	NA	https://github.com/tercen/impute_operator	NA	NA
IQR (interquartile range)	Returns the interquartile range of a cell	basic statistics	NA	https://github.com/tercen/IQR_operator	NA	NA
Join GFF operator	Join a range-based GFF annotation file to position-based genomic data.	bioinformatics; import	NA	https://github.com/tercen/join_GFF_operator	NA	NA
Kruskal-Wallis test	Performs Kruskal-Wallis test	statistical testing; test	NA	https://github.com/tercen/kruskaltest_operator	NA	NA
lagpad operator	Computes a lagged version of a data series along columns, shifting the data back by a given number of observations.	data wrangling	NA	https://github.com/tercen/lagpad_operator	NA	NA
Linear regression	Returns the intercept and slope of a linear regression in a cell	linear model	NA	https://github.com/agouy/lm_operator	NA	NA
LOESS smoothing	Performs a loess curve fitting.	data visualisation; smoothing; modelling	NA	https://github.com/tercen/loess_smoothing_operator	NA	NA
log fold change	log fold change	simple statistics	NA	https://github.com/tercen/logfoldchange_operator	NA	NA
