name,description,tags,urls,container,isWebApp,latest_tag,name_from_url
Add,Returns the sum of two values,basic operations,https://github.com/tercen/add_operator,NA,NA,0.0.1,add_operator
Sequence alignment metrics,Returns alignment metrics,bioinformatics,https://github.com/tercen/alignment_metrics_operator,NA,NA,0.0.2,alignment_metrics_operator
ANOVA,Analysis of variance,statistical testing; test; linear model,https://github.com/tercen/anova_operator,NA,NA,0.11.0,anova_operator
asinh,asinh transformation a given data,data transformation; data wrangling; transform,https://github.com/tercen/asinh_operator,NA,NA,0.1.2,asinh_operator
ATSNE,Approximated-tSNE is a method for constructing a low dimensional embedding of high-dimensional data,multivariate statistics,https://github.com/tercen/atsne_docker_operator,tercen/atsne:1.1.11,NA,1.1.11,atsne_docker_operator
ATSNE,Approximated-tSNE is a method for constructing a low dimensional embedding of high-dimensional data,multivariate statistics,https://github.com/tercen/atsne_operator,NA,NA,1.1.11,atsne_operator
base change,base change,data wrangling; Pharma; transform; data transformation,https://github.com/tercen/basechange_operator,NA,NA,0.1.0,basechange_operator
Boxplot Shiny Operator,Create boxplots in Tercen.,plot,https://github.com/tercen/boxplot_shiny_operator,NA,NA,0.02,boxplot_shiny_operator
calcnormfactors,calculate normal factors,normalization; rnaseq,https://github.com/tercen/calcnormfactors_operator,NA,NA,0.0.4,calcnormfactors_operator
Cell Plot,A typical usage scenario is plotting the enrichment of Gene Ontology terms; with individual cells reflecting the differential regulation of the constituent genes.,basic statistics,https://github.com/tercen/cellplot_shiny_operator,NA,NA,1.0.2,cellplot_shiny_operator
Chi-square test,Performs a chi-square test on a set of data points.,statistical testing; test,https://github.com/tercen/chisquare_test_operator,NA,NA,0.0.1,chisquare_test_operator
Clustering metrics,Returns various clustering metrics,clustering,https://github.com/tercen/clustering_metrics_operator/,NA,NA,0.0.2,clustering_metrics_operator
Hierarchical clustering tree,Returns a hierarchical clustering tree to be projected in Tercen.,clustering; tree,https://github.com/tercen/clustering_tree_operator,NA,NA,0.1.0,clustering_tree_operator
clusterx,Fast clustering by automatic search and find of density peaks,multivariate statistics,https://github.com/tercen/clusterx_operator,NA,NA,0.10.0,clusterx_operator
Concatenate operator,Concatenate different columns into a single one.,data wrangling; text processing; text manipulation,https://github.com/tercen/concatenate_operator,NA,NA,0.0.1,concatenate_operator
Constant,Define a constant value per cell,basic statistics,https://github.com/tercen/constant_operator,NA,NA,1.0.0,constant_operator
Count,Count the number of data point per cell,simple statistics,https://github.com/tercen/count_operator,NA,NA,0.10.0,count_operator
CV,Compute the coefficient of variance per cell,basic statistics,https://github.com/tercen/cv_operator,NA,NA,0.9.0,cv_operator
NA,NA,NA,NA,NA,NA,NA,NA
Density plot Shiny Operator,Create density plots in Tercen.,plot,https://github.com/tercen/densityplot_shiny_operator,NA,NA,0.0.1,densityplot_shiny_operator
Density,Compute the density on x and y axis per cell,basic statistics,https://github.com/tercen/density_operator,NA,NA,0.11.0,density_operator
DESeq2_two_conditions,DESeq2 two condition comparison,RNA-seq; differential expression; genomics,https://github.com/tercen/DESeq2_two_conditions_operator,NA,NA,0.0.5,DESeq2_two_conditions_operator
diffcyt,Differential discovery in high-dimensional cytometry via high-resolution clustering,flowcytometry; rnaseq,https://github.com/tercen/diffcyt_operator,NA,NA,0.0.3,diffcyt_operator
Distance between aligned sequences,Computes the distance between aligned biological sequences,bioinformatics,https://github.com/tercen/dist_alignment_operator,NA,NA,0.1.0,dist_alignment_operator
Downsample,Downsample data,sampling,https://github.com/tercen/downsample_operator,NA,NA,1.1.0,downsample_operator
Fast t-SNE operator,Fast FFT Interpolation-based tSNE operator,multivariate statistics,https://github.com/tercen/fast_tSNE_operator,agouy/fast_tSNE_operator:0.0.1,FALSE,NA,fast_tSNE_operator
Fast t-SNE,Fast Fourier Transform Interpolation-based t-SNE,dimensionality reduction,https://github.com/tercen/fast_tSNE_operator,NA,NA,0.0.3,fast_tSNE_operator
fgsea,Perform fast gene set enrichment analysis,enrichment,https://github.com/tercen/fsgea_operator,NA,NA,NA,fsgea_operator
Flag operator,Flag text or numerical values based on a condition.,data wrangling; text processing,https://github.com/tercen/flag_operator,NA,NA,0.1.2,flag_operator
flowai,flowai quality control operator,flowcytometry,https://github.com/agouy/flowai_operator,NA,NA,0.1.2,flowai_operator
flowClean,Quality control for flowcytometry data,flowcytometry,https://github.com/tercen/template_R_operator,NA,NA,0.1.3,template_R_operator
flowsomtuning,FlowSOM tuning,flowcytometry; rnaseq,https://github.com/tercen/flowsomtuning_operator,NA,NA,0.0.3,flowsomtuning_operator
FlowSOM MST Shiny Operator,FlowSOM MST Shiny Operator in Tercen.,flowsom,https://github.com/tercen/flowsom_mst_shiny_operator,NA,NA,0.1.0,flowsom_mst_shiny_operator
FlowSOM,Returns FlowSOM clusters,flow cytometry,https://github.com/tercen/flowsom_operator,NA,NA,0.0.5,flowsom_operator
fold change,fold change,simple statistics,https://github.com/tercen/foldchange_operator,NA,NA,0.10.0,foldchange_operator
Genome join operator,Join two tables based on overlapping genomic interval.,bioinformatics; import,https://github.com/tercen/genome_join_operator,NA,NA,0.0.1,genome_join_operator
GFR,Glomerular filtration rate estimate ,pharmacokinetics; Pharma,https://github.com/tercen/gfr_operator,NA,NA,0.1.0,gfr_operator
GSEA,Gene Set Enrichment Analysis,bioinformatics,https://github.com/tercen/gsea_operator,NA,NA,0.0.1,gsea_operator
hclust,Hierarchical Cluster,multivariate statistics,https://github.com/tercen/hclust_operator,NA,NA,0.10.0,hclust_operator
Shiny Heatmap,Create a clustered heatmap.,heatmap,https://github.com/tercen/heatmap_shiny_operator,NA,NA,0.1.7,heatmap_shiny_operator
Hierarchical clustering operator,Perform the hierarchical clustering of a set of datapoints based on provided variable values.,clustering,https://github.com/tercen/hierarchical_clustering_operator,NA,NA,0.0.1,hierarchical_clustering_operator
Histogram operator,Create a 1D or 2D histogram,data visualisation; plot; basic statistics,https://github.com/tercen/histogram_operator,NA,NA,0.0.1,histogram_operator
Impute,Impute NA to zero per cell,data wrangling,https://github.com/tercen/impute_operator,NA,NA,0.1.0,impute_operator
IQR (interquartile range),Returns the interquartile range of a cell,basic statistics,https://github.com/tercen/IQR_operator,NA,NA,0.0.1,IQR_operator
Join GFF operator,Join a range-based GFF annotation file to position-based genomic data.,bioinformatics; import,https://github.com/tercen/join_GFF_operator,NA,NA,0.0.4,join_GFF_operator
Kruskal-Wallis test,Performs Kruskal-Wallis test,statistical testing; test,https://github.com/tercen/kruskaltest_operator,NA,NA,0.0.1,kruskaltest_operator
lagpad operator,Computes a lagged version of a data series along columns; shifting the data back by a given number of observations.,data wrangling,https://github.com/tercen/lagpad_operator,NA,NA,0.0.1,lagpad_operator
Linear regression,Returns the intercept and slope of a linear regression in a cell,linear model,https://github.com/agouy/lm_operator,NA,NA,1.0.1,lm_operator
